attendance_id,employee_id,date,timeIn,timeOut,workedHour,status
234,101,2025-07-01,10:00:00,17:00:00,7,Present
235,101,2025-07-02,10:30:00,17:00:00,6.5,Present
236,101,2025-07-03,10:00:00,17:00:00,7,Present
237,101,2025-07-04,NULL,NULL,0,Absent
238,101,2025-07-06,10:20:00,17:00:00,6.67,Present
239,101,2025-07-07,NULL,NULL,0,Absent
240,101,2025-07-08,10:30:00,17:00:00,6.5,Present
241,101,2025-07-09,10:00:00,17:00:00,7,Present
242,101,2025-07-10,10:15:00,17:00:00,6.75,Present
243,101,2025-07-11,10:10:00,17:00:00,6.83,Present
244,101,2025-07-13,10:25:00,17:00:00,6.58,Present
245,101,2025-07-14,NULL,NULL,0,Absent
246,101,2025-07-15,10:30:00,17:00:00,6.5,Present
247,101,2025-07-16,10:00:00,17:00:00,7,Present
248,101,2025-07-17,10:15:00,17:00:00,6.75,Present
249,101,2025-07-18,10:00:00,17:00:00,7,Present
250,101,2025-07-20,10:00:00,17:00:00,7,Present
251,101,2025-07-21,10:10:00,17:00:00,6.83,Present
252,101,2025-07-22,10:00:00,17:00:00,7,Present
253,101,2025-07-23,10:30:00,17:00:00,6.5,Present
254,101,2025-07-24,10:00:00,17:00:00,7,Present
255,101,2025-07-25,10:10:00,17:00:00,6.83,Present
256,101,2025-07-27,10:15:00,17:00:00,6.75,Present
257,101,2025-07-28,10:30:00,17:00:00,6.5,Present
258,101,2025-07-29,10:00:00,17:00:00,7,Present
259,101,2025-07-30,10:00:00,17:00:00,7,Present
260,101,2025-07-31,10:00:00,17:00:00,7,Present
261,102,2025-07-01,10:00:00,15:00:00,5,Present
262,102,2025-07-02,10:30:00,16:30:00,6,Present
263,102,2025-07-03,NULL,NULL,0,Absent
264,102,2025-07-04,10:00:00,15:00:00,5,Present
265,102,2025-07-06,NULL,NULL,0,Absent
266,102,2025-07-07,NULL,NULL,0,Absent
267,102,2025-07-08,NULL,NULL,0,Absent
268,102,2025-07-09,11:00:00,15:00:00,4,Present
269,102,2025-07-10,10:20:00,15:30:00,5.17,Present
270,102,2025-07-11,10:30:00,16:00:00,5.5,Present
271,102,2025-07-13,10:10:00,15:45:00,5.58,Present
272,102,2025-07-14,10:30:00,16:00:00,5.5,Present
273,102,2025-07-15,NULL,NULL,0,Absent
274,102,2025-07-16,NULL,NULL,0,Absent
275,102,2025-07-17,NULL,NULL,0,Absent
276,102,2025-07-18,10:00:00,15:30:00,5.5,Present
277,102,2025-07-20,10:30:00,16:00:00,5.5,Present
278,102,2025-07-21,10:00:00,15:30:00,5.5,Present
279,102,2025-07-22,10:10:00,15:30:00,5.33,Present
280,102,2025-07-23,10:30:00,16:00:00,5.5,Present
281,102,2025-07-24,NULL,NULL,0,Absent
282,102,2025-07-25,NULL,NULL,0,Absent
283,102,2025-07-27,10:30:00,16:00:00,5.5,Present
284,102,2025-07-28,10:00:00,15:30:00,5.5,Present
285,102,2025-07-29,10:15:00,15:45:00,5.5,Present
286,102,2025-07-30,10:15:00,15:45:00,5.5,Present
287,102,2025-07-31,10:15:00,15:45:00,5.5,Present
288,103,2025-07-01,NULL,NULL,0,Absent
289,103,2025-07-02,10:00:00,17:00:00,7,Present
290,103,2025-07-03,NULL,NULL,0,Absent
291,103,2025-07-04,10:00:00,17:00:00,7,Present
292,103,2025-07-06,10:00:00,17:00:00,7,Present
293,103,2025-07-07,NULL,NULL,0,Absent
294,103,2025-07-08,10:00:00,17:00:00,7,Present
295,103,2025-07-09,NULL,NULL,0,Absent
296,103,2025-07-10,10:00:00,17:00:00,7,Present
297,103,2025-07-11,NULL,NULL,0,Absent
298,103,2025-07-13,NULL,NULL,0,Absent
299,103,2025-07-14,10:00:00,17:00:00,7,Present
300,103,2025-07-15,NULL,NULL,0,Absent
301,103,2025-07-16,NULL,NULL,0,Absent
302,103,2025-07-17,NULL,NULL,0,Absent
303,103,2025-07-18,10:00:00,17:00:00,7,Present
304,103,2025-07-20,NULL,NULL,0,Absent
305,103,2025-07-21,NULL,NULL,0,Absent
306,103,2025-07-22,10:00:00,17:00:00,7,Present
307,103,2025-07-23,NULL,NULL,0,Absent
308,103,2025-07-24,NULL,NULL,0,Absent
309,103,2025-07-25,NULL,NULL,0,Absent
310,103,2025-07-27,NULL,NULL,0,Absent
311,103,2025-07-28,NULL,NULL,0,Absent
312,103,2025-07-29,10:00:00,17:00:00,7,Present
313,103,2025-07-30,10:00:00,17:00:00,7,Present
314,103,2025-07-31,10:00:00,17:00:00,7,Present
