attendance_id,employee_id,date,timeIn,timeOut,workedHour,status
154,101,2025-06-01,10:00:00,17:00:00,7,Present
155,101,2025-06-02,10:30:00,17:00:00,6.5,Present
156,101,2025-06-03,10:00:00,17:00:00,7,Present
157,101,2025-06-04,10:00:00,17:00:00,7,Present
158,101,2025-06-05,NULL,NULL,0,Absent
159,101,2025-06-06,10:20:00,17:00:00,6.67,Present
161,101,2025-06-08,NULL,NULL,0,Absent
162,101,2025-06-09,10:30:00,17:00:00,6.5,Present
163,101,2025-06-10,10:00:00,17:00:00,7,Present
164,101,2025-06-11,10:15:00,17:00:00,6.75,Present
165,101,2025-06-12,10:10:00,17:00:00,6.83,Present
166,101,2025-06-13,10:25:00,17:00:00,6.58,Present
167,101,2025-06-14,NULL,NULL,0,Absent
168,101,2025-06-15,10:30:00,17:00:00,6.5,Present
169,101,2025-06-16,10:00:00,17:00:00,7,Present
170,101,2025-06-17,10:15:00,17:00:00,6.75,Present
171,101,2025-06-18,10:00:00,17:00:00,7,Present
172,101,2025-06-19,10:00:00,17:00:00,7,Present
173,101,2025-06-20,10:10:00,17:00:00,6.83,Present
174,101,2025-06-22,10:00:00,17:00:00,7,Present
175,101,2025-06-23,10:30:00,17:00:00,6.5,Present
176,101,2025-06-24,10:00:00,17:00:00,7,Present
177,101,2025-06-25,10:10:00,17:00:00,6.83,Present
178,101,2025-06-26,10:15:00,17:00:00,6.75,Present
179,101,2025-06-27,10:30:00,17:00:00,6.5,Present
180,101,2025-06-29,10:00:00,17:00:00,7,Present
181,101,2025-06-30,10:00:00,17:00:00,7,Present
182,102,2025-06-01,10:00:00,15:00:00,5,Present
183,102,2025-06-02,10:30:00,16:30:00,6,Present
184,102,2025-06-03,NULL,NULL,0,Absent
185,102,2025-06-04,10:45:00,16:30:00,5.75,Present
186,102,2025-06-05,NULL,NULL,0,Absent
187,102,2025-06-06,NULL,NULL,0,Absent
188,102,2025-06-08,NULL,NULL,0,Absent
189,102,2025-06-09,11:00:00,15:00:00,4,Present
190,102,2025-06-10,10:20:00,15:30:00,5.17,Present
191,102,2025-06-11,10:30:00,16:00:00,5.5,Present
192,102,2025-06-12,10:10:00,15:45:00,5.58,Present
193,102,2025-06-13,10:30:00,16:00:00,5.5,Present
194,102,2025-06-15,NULL,NULL,0,Absent
195,102,2025-06-16,NULL,NULL,0,Absent
196,102,2025-06-17,NULL,NULL,0,Absent
197,102,2025-06-18,10:00:00,15:30:00,5.5,Present
198,102,2025-06-19,10:30:00,16:00:00,5.5,Present
199,102,2025-06-20,10:00:00,15:30:00,5.5,Present
200,102,2025-06-22,10:10:00,15:30:00,5.33,Present
201,102,2025-06-23,10:30:00,16:00:00,5.5,Present
202,102,2025-06-24,NULL,NULL,0,Absent
203,102,2025-06-25,NULL,NULL,0,Absent
204,102,2025-06-26,10:30:00,16:00:00,5.5,Present
205,102,2025-06-27,10:00:00,15:30:00,5.5,Present
206,102,2025-06-29,10:15:00,15:45:00,5.5,Present
207,102,2025-06-30,10:15:00,15:45:00,5.5,Present
208,103,2025-06-01,NULL,NULL,0,Absent
209,103,2025-06-02,10:00:00,17:00:00,7,Present
210,103,2025-06-03,NULL,NULL,0,Absent
211,103,2025-06-04,NULL,NULL,0,Absent
212,103,2025-06-05,10:00:00,17:00:00,7,Present
213,103,2025-06-06,NULL,NULL,0,Absent
214,103,2025-06-08,10:00:00,17:00:00,7,Present
215,103,2025-06-09,NULL,NULL,0,Absent
216,103,2025-06-10,10:00:00,17:00:00,7,Present
217,103,2025-06-11,NULL,NULL,0,Absent
218,103,2025-06-12,NULL,NULL,0,Absent
219,103,2025-06-13,10:00:00,17:00:00,7,Present
220,103,2025-06-15,NULL,NULL,0,Absent
221,103,2025-06-16,NULL,NULL,0,Absent
222,103,2025-06-17,NULL,NULL,0,Absent
223,103,2025-06-18,10:00:00,17:00:00,7,Present
224,103,2025-06-19,NULL,NULL,0,Absent
225,103,2025-06-20,NULL,NULL,0,Absent
226,103,2025-06-22,10:00:00,17:00:00,7,Present
227,103,2025-06-23,NULL,NULL,0,Absent
228,103,2025-06-24,NULL,NULL,0,Absent
229,103,2025-06-25,NULL,NULL,0,Absent
230,103,2025-06-26,NULL,NULL,0,Absent
231,103,2025-06-27,NULL,NULL,0,Absent
232,103,2025-06-29,10:00:00,17:00:00,7,Present
233,103,2025-06-30,10:00:00,17:00:00,7,Present
