attendance_id,employee_id,date,timeIn,timeOut,workedHour,status
79,101,2025-05-01,10:00:00,17:00:00,7.00,Present
80,101,2025-05-02,10:30:00,17:00:00,6.50,Present
81,101,2025-05-04,NULL,NULL,0.00,Absent
82,101,2025-05-05,10:00:00,17:00:00,7.00,Present
83,101,2025-05-06,10:20:00,17:00:00,6.67,Present
84,101,2025-05-07,NULL,NULL,0.00,Absent
85,101,2025-05-08,10:30:00,17:00:00,6.50,Present
86,101,2025-05-09,10:00:00,17:00:00,7.00,Present
87,101,2025-05-11,10:10:00,17:00:00,6.83,Present
88,101,2025-05-12,10:00:00,17:00:00,7.00,Present
89,101,2025-05-13,10:25:00,17:00:00,6.58,Present
90,101,2025-05-14,NULL,NULL,0.00,Absent
91,101,2025-05-15,10:10:00,17:00:00,6.83,Present
92,101,2025-05-16,10:00:00,17:00:00,7.00,Present
93,101,2025-05-18,10:10:00,17:00:00,6.83,Present
94,101,2025-05-19,10:00:00,17:00:00,7.00,Present
95,101,2025-05-20,10:25:00,17:00:00,6.58,Present
96,101,2025-05-21,NULL,NULL,0.00,Absent
97,101,2025-05-22,10:10:00,17:00:00,6.83,Present
98,101,2025-05-23,10:30:00,17:00:00,6.50,Present
99,101,2025-05-25,10:10:00,17:00:00,6.83,Present
100,101,2025-05-27,10:15:00,17:00:00,6.75,Present
101,101,2025-05-28,10:30:00,17:00:00,6.50,Present
102,101,2025-05-29,NULL,NULL,0.00,Absent
103,101,2025-05-30,10:00:00,17:00:00,7.00,Present
104,102,2025-05-01,10:00:00,15:00:00,5.00,Present
105,102,2025-05-02,10:30:00,16:30:00,6.00,Present
106,102,2025-05-04,10:00:00,15:00:00,5.00,Present
107,102,2025-05-05,10:45:00,16:30:00,5.75,Present
108,102,2025-05-06,NULL,NULL,0.00,Absent
109,102,2025-05-07,NULL,NULL,0.00,Absent
110,102,2025-05-08,NULL,NULL,0.00,Absent
111,102,2025-05-09,11:00:00,15:00:00,4.00,Present
112,102,2025-05-11,10:30:00,16:00:00,5.50,Present
113,102,2025-05-12,10:00:00,15:30:00,5.50,Present
114,102,2025-05-13,10:10:00,15:45:00,5.58,Present
115,102,2025-05-14,10:30:00,16:00:00,5.50,Present
116,102,2025-05-15,NULL,NULL,0.00,Absent
117,102,2025-05-16,10:00:00,17:00:00,7.00,Present
118,102,2025-05-18,10:25:00,17:00:00,6.58,Present
119,102,2025-05-19,NULL,NULL,0.00,Absent
120,102,2025-05-20,NULL,NULL,0.00,Absent
121,102,2025-05-21,11:00:00,15:00:00,4.00,Present
122,102,2025-05-22,10:30:00,16:00:00,5.50,Present
123,102,2025-05-23,10:30:00,17:00:00,6.50,Present
124,102,2025-05-25,10:10:00,17:00:00,6.83,Present
125,102,2025-05-27,NULL,NULL,0.00,Absent
126,102,2025-05-28,NULL,NULL,0.00,Absent
127,102,2025-05-29,10:00:00,17:00:00,7.00,Present
128,102,2025-05-30,10:00:00,17:00:00,7.00,Present
129,103,2025-05-01,NULL,NULL,0.00,Absent
130,103,2025-05-02,10:00:00,17:00:00,7.00,Present
131,103,2025-05-04,10:00:00,17:00:00,7.00,Present
132,103,2025-05-05,NULL,NULL,0.00,Absent
133,103,2025-05-06,10:00:00,17:00:00,7.00,Present
134,103,2025-05-07,NULL,NULL,0.00,Absent
135,103,2025-05-08,10:00:00,17:00:00,7.00,Present
136,103,2025-05-09,NULL,NULL,0.00,Absent
137,103,2025-05-11,NULL,NULL,0.00,Absent
138,103,2025-05-12,NULL,NULL,0.00,Absent
139,103,2025-05-13,NULL,NULL,0.00,Absent
140,103,2025-05-14,10:00:00,17:00:00,7.00,Present
141,103,2025-05-15,11:00:00,15:00:00,4.00,Present
142,103,2025-05-16,10:30:00,16:00:00,5.50,Present
143,103,2025-05-18,NULL,NULL,0.00,Absent
144,103,2025-05-19,10:00:00,17:00:00,7.00,Present
145,103,2025-05-20,NULL,NULL,0.00,Absent
146,103,2025-05-21,10:00:00,17:00:00,7.00,Present
147,103,2025-05-22,NULL,NULL,0.00,Absent
148,103,2025-05-23,10:30:00,17:00:00,6.50,Present
149,103,2025-05-25,10:10:00,17:00:00,6.83,Present
150,103,2025-05-27,10:15:00,17:00:00,6.75,Present
151,103,2025-05-28,NULL,NULL,0.00,Absent
152,103,2025-05-29,10:00:00,17:00:00,7.00,Present
153,103,2025-05-30,NULL,NULL,0.00,Absent

